ticker,weight,risk_contribution,risk_contribution_pct
TSLA,0.2,0.09705790192128429,0.3281636608073316
NVDA,0.2,0.08666887931333023,0.2930372092382328
AAPL,0.2,0.042368733797820524,0.14325344471324342
MSFT,0.2,0.04001519631693432,0.13529587031398155
SPY,0.2,0.029649951737175162,0.10024981492721055
