date,ticker,open,high,low,close,adj_close,volume,daily_return,ma_20,ma_50,roll_vol_20,equity_100,drawdown
2021-02-22,AAPL,128.00999450683594,129.72000122070312,125.5999984741211,126.0,122.72345733642578,103916400,,,,,100.0,0.0
2021-02-23,AAPL,123.76000213623048,126.70999908447266,118.38999938964844,125.86000061035156,122.58708953857422,158273000,-0.0011111795642925193,,,,99.88888204357075,-0.0011111795642925193
2021-02-24,AAPL,124.94000244140624,125.55999755859376,122.2300033569336,125.3499984741211,122.09033203125,111039900,-0.004052282415660913,,,,99.48410408334556,-0.005158959166544408
2021-02-25,AAPL,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376952,117.8437271118164,148199500,-0.03478248317275967,,,,96.02379990710952,-0.039762000928904806
2021-02-26,AAPL,122.58999633789062,124.8499984741211,121.1999969482422,121.26000213623048,118.1067123413086,164560400,0.002231643855278298,,,,96.23809083013269,-0.03761909169867306
2021-03-01,AAPL,123.75,127.93000030517578,122.79000091552734,127.79000091552734,124.46690368652344,116307900,0.053851226734979774,,,,101.42063007996775,0.0
2021-03-02,AAPL,128.41000366210938,128.72000122070312,125.01000213623048,125.12000274658205,121.86634063720705,102260900,-0.02089361084988539,,,,99.30158690292673,-0.02089361084988539
2021-03-03,AAPL,124.80999755859376,125.70999908447266,121.83999633789062,122.05999755859376,118.88589477539062,112966300,-0.024456678080530314,,,,96.87299995915605,-0.04483930061592012
2021-03-04,AAPL,121.75,123.5999984741211,118.62000274658205,120.12999725341795,117.00608825683594,178155000,-0.01581185490596826,,,,95.341258139496,-0.059942163006464266
2021-03-05,AAPL,120.9800033569336,121.94000244140624,117.56999969482422,121.41999816894533,118.26253509521484,153766600,0.010738303084032008,,,,96.36506146581084,-0.04984753703630829
2021-03-08,AAPL,120.93000030517578,121.0,116.20999908447266,116.36000061035156,113.33413696289062,154376600,-0.04167336788744036,,,,92.3492048078503,-0.08944359017455172
2021-03-09,AAPL,119.02999877929688,122.05999755859376,118.79000091552734,121.08999633789062,117.9411163330078,129525800,0.04064952973194336,,,,96.10315655440834,-0.052429900320740574
2021-03-10,AAPL,121.69000244140624,122.16999816894533,119.4499969482422,119.9800033569336,116.8599853515625,111943300,-0.009166701274835432,,,,95.22220762670534,-0.061115992361466365
2021-03-11,AAPL,122.54000091552734,123.20999908447266,121.26000213623048,121.95999908447266,118.78849029541016,103026500,0.016502697121225207,,,,96.79363087838327,-0.04562187395144557
2021-03-12,AAPL,120.4000015258789,121.16999816894533,119.16000366210938,121.02999877929688,117.88269805908205,88105100,-0.0076252525314155495,,,,96.05555499950297,-0.05289924817302494
2021-03-15,AAPL,121.41000366210938,124.0,120.41999816894533,123.98999786376952,120.76570129394533,92403800,0.024456542667680825,,,,98.40474177881609,-0.02973643822537586
2021-03-16,AAPL,125.6999969482422,127.22000122070312,124.72000122070312,125.56999969482422,122.30461883544922,115227900,0.012743001738201754,,,,99.65871357435083,-0.017372367971168146
2021-03-17,AAPL,124.0500030517578,125.86000061035156,122.33999633789062,124.76000213623048,121.51568603515624,111932600,-0.006450556060801138,,,,99.01585945549216,-0.023710862598462334
2021-03-18,AAPL,122.87999725341795,123.18000030517578,120.31999969482422,120.52999877929688,117.39569091796876,121229700,-0.03390504758369628,,,,95.65872202911312,-0.056811992257507216
2021-03-19,AAPL,119.9000015258789,121.43000030517578,119.68000030517578,119.98999786376952,116.86970520019533,185549500,-0.004480451655938356,119.37484550476074,,,95.23012774959282,-0.06103790052865832
2021-03-22,AAPL,120.33000183105467,123.87000274658205,120.26000213623048,123.38999938964844,120.18133544921876,111912300,0.028336087982344882,119.24773941040038,,0.025235262640554135,97.92857702807524,-0.03443138786595101
